player_id,player_name,country
p1,Alan Shearer,England
p100059,Alberto Moreno,Spain
p100180,Danilo,Brazil
p10022,Cory Gibbs,United States
p10039,Abdeslam Ouaddou,Morocco
p100412,André Carrillo,Peru
p100534,Paulinho,Brazil
p10059,David Bellion,France
p100649,Bernard,Brazil
p10068,Szilard Nemeth,Slovakia
p10072,Henrik Pedersen,Denmark
p10089,Martin Petrov,Bulgaria
p101061,Philip Heise,Germany
p101065,Phil Ofosu-Ayeh,Ghana
p10107,Rafael Schmitz,Brazil
p101105,Joe Bryan,England
p101135,Cody Cropper,United States
p10114,Fábio Rochemback,Brazil
p101148,Jamaal Lascelles,England
p101178,James Ward-Prowse,England
p101179,Lloyd Isgrove,Wales
p101180,Sam Hoskins,England
p101183,Corby Moore,England
p101184,Calum Chambers,England
p101188,Lucas Digne,France
p10135,Tomasz Kuszczak,Poland
p101394,Okay Yokuslu,Turkey
p10143,Geovanni,Brazil
p101489,Csaba Somogyi,Hungary
p101537,Felipe Anderson,Brazil
p10155,Chris Black,England
p10156,Craig James,England
p101582,Fred,Brazil
p10159,Keith Graydon,England
p1016,Kevin Pressman,England
p10161,Mark Rossiter,Ireland
p101623,Cristian Ceballos,Spain
p101642,Rhys Bennett,England
p101668,Jamie Vardy,England
p1017,Julian Joachim,England
p1018,Lee Hughes,England
p10187,David Noble,England
p1019,Kevin Kilbane,Ireland
p101982,Sam Johnstone,England
p102046,Muamer Tankovic,Sweden
p102052,Eirik Holmen Johansen,Norway
p102053,Andrea Mancini,Italy
p102057,Raúl Jiménez,Mexico
p10216,Alberto Mendez,Germany
p102163,Souleymane Coulibaly,Cote D`Ivoire
p10231,Stevland Angus,England
p102366,Moritz Bauer,Austria
p102380,Antonio Rüdiger,Germany
p1024,Sean Flynn,England
p10246,Terrell Forbes,England
p1025,Matt Carbon,England
p10250,Ciaran Toner,Northern Ireland
p102548,Tiago Ilori,Portugal
p102549,Adam Davies,Wales
p1027,Richard Sneekes,Netherlands
p10273,Graeme Sharp,Scotland
p102738,Giannelli Imbula,DR Congo
p10274,John Ebbrell,England
p102747,Djibril Sidibé,France
p10276,Barry Venison,England
p10277,David Speedie,Scotland
p1028,David Watson,England
p102822,Wallace Oliveira,Brazil
p102826,Benjamin Mendy,France
p102884,Paulo Gazzaniga,Argentina
p1029,Mickey Evans,Ireland
p102907,Mark Birighitti,Australia
p102916,Matthew Fletcher,Australia
p1030,Nico Vaesen,Belgium
p103025,Riyad Mahrez,Algeria
p103040,Karim Rekik,Netherlands
p1031,Fabian De Freitas,Netherlands
p103100,Jonathan Williams,Wales
p103109,Sam Magri,Malta
p103123,Sébastien Haller,Cote D`Ivoire
p103124,Emiliano Sala,Argentina
p103127,Molla Wagué,Mali
p10318,Maarten Stekelenburg,Netherlands
p103192,Kurt Zouma,France
p1033,Nicky Eaden,England
p103328,Tom Hitchcock,England
p1034,Alan Miller,England
p10343,José Antonio Reyes,Spain
p10348,Junichi Inamoto,Japan
p1035,Jamie Vincent,England
p103527,Diego Poyet,Uruguay
p10356,Guy Demel,Cote D`Ivoire
p10359,Neil Barrett,England
p1036,Craig Armstrong,England
p10366,Erik Edman,Sweden
p10367,Hatem Trabelsi,Tunisia
p103697,Ryan Williams,Australia
p10370,Mamady Sidibe,Mali
p10378,Simon Ramsden,England
p1038,Matty Appleby,England
p1039,Chris Lucketti,England
p103903,Adam Henley,Wales
p103912,Jordon Ibe,England
p103914,Charlie Taylor,England
p103917,Joe Cracknell,England
p103953,Suso,Spain
p103955,Raheem Sterling,England
p104047,Pelly-Ruddock Mpanzu,DR Congo
p104073,Joe Ralls,England
p104074,Adedeji Oshilaja,England
p10425,Florent Malouda,France
p1043,Giorgos Donis,Greece
p10440,Bernt Haas,Switzerland
p10445,Frédéric Piquionne,France
p10449,Henri Camara,Senegal
p1045,Marcus Stewart,England
p10450,David Di Michele,Italy
p10451,Jermaine Jenas,England
p104517,Kudos Oyenuga,England
p104531,Courtney Meppen-Walter,England
p104532,Devante Cole,England
p104533,Ellis Plummer,England
p104535,Harry Bunn,England
p104536,Ian Lawlor,Ireland
p104537,Jeremy Helan,France
p104538,Joan Román,Spain
p104539,Jordy Hiwula-Mayifuila,England
p10454,Dickson Etuhu,Nigeria
p104542,Loris Karius,Germany
p104545,Tommy Smith,England
p104547,Dwight Gayle,England
p1046,Scott Sellars,England
p10460,Grant Leadbitter,England
p10466,John Heitinga,Netherlands
p1047,Clyde Wijnhard,Netherlands
p10486,Jürgen Colin,Netherlands
p1049,Kevin Richardson,England
p10490,Konstantinos Chalkias,Greece
p104953,Christian Atsu,Ghana
p1050,Paul Holmes,England
p105086,Kerim Frei,Turkey
p105088,Adam Blakeman,England
p1051,Ben Thornley,England
p105185,Steven Hewitt,England
p105186,Jordan Gibbons,England
p105190,Anthony Forde,Ireland
p1052,Adie Moses,England
p105320,George Moncur,England
p105321,Robert Hall,England
p105322,Joe Riley,England
p105377,Ezgjan Alioski,North Macedonia
p1054,Barry Horne,Wales
p10542,Youssef Safri,Morocco
p10547,Marc Richards,England
p10549,Dave Kitson,England
p1055,Chris Adamson,England
p10550,Rowan Vine,England
p105518,Joel Valencia,Ecuador
p1056,Scott Jones,England
p10561,Karl Henry,England
p105666,Jack Butland,England
p105677,Cheick Touré,Cote D`Ivoire
p105678,Shay Facey,England
p105689,Luke Conlan,Northern Ireland
p105692,Cameron Howieson,New Zealand
p105696,Villyan Bijev,Bulgaria
p1057,Graham Potter,England
p105700,Davide Zappacosta,Italy
p105702,Tommaso Trani,Italy
p10571,Aaron McLean,England
p105717,Arthur Masuaku,DR Congo
p105731,Callum Tapping,Scotland
p10578,Liam Lawrence,Ireland
p105835,Eduardo Vargas,Chile
p10589,Brian Murphy,Ireland
p1059,Danny Gabbidon,Wales
p10594,Joseph Yobo,Nigeria
p1060,Eric Tinkler,South Africa
p10602,Milan Baros,Czech Republic
p10614,Björn Runström,Sweden
p106175,Nick Arnold,England
p106177,Angus MacDonald,England
p106178,Charlie Losasso,England
p106179,Gozie Ugwu,England
p1062,Delroy Facey,Grenada
p106256,Jak Alnwick,England
p1063,Craig Hignett,England
p106300,David Moberg-Karlsson,Sweden
p106348,Nouha Dicko,Mali
p1064,Neil Shipperley,England
p106419,Luke Coulson,England
p106422,Emyr Huws,Wales
p106423,George Evans,England
p106449,Kevin Stewart,Jamaica
p106450,Alex Pritchard,England
p106451,Jack Barthram,England
p106458,Eduard Campabadal,Spain
p1065,Bruce Dyer,England
p106530,Josh Carmichael,Scotland
p1066,James Chambers,England
p106602,Graham Burke,Ireland
p106603,Ezekiel Fryers,England
p106606,Massimo Luongo,Australia
p106610,Larnell Cole,England
p106611,Michael Keane,England
p106612,Tom Thorpe,England
p106616,Jeff Henderson,England
p106617,Patrick Bamford,England
p106618,Paul Dummett,Wales
p1067,Adam Chambers,England
p106757,Jürgen Locadia,Netherlands
p106760,Luke Shaw,England
p106824,Memphis Depay,Netherlands
p106837,Dennis Praet,Belgium
p106899,Roque Mesa,Spain
p1069,Darren Barnard,Wales
p106921,Gerónimo Rulli,Argentina
p10706,Jamie Slabber,England
p10707,Mark Yeates,Ireland
p107084,Jordan Archer,Scotland
p107088,Jason Banton,England
p10709,Emanuel Pogatetz,Austria
p1071,Mike Sheron,England
p10726,Bernardo Corradi,Italy
p107265,Angus Gunn,England
p10738,Darren Bent,England
p10741,Matt Bloomfield,England
p10743,Justin Miller,South Africa
p10744,Darren Ambrose,England
p10746,Matteo Sereni,Italy
p107540,Dominic Vose,England
p107541,Scott Harrison,England
p1076,Martin Bullock,England
p107613,Romain Saïss,Morocco
p107698,Greg Leigh,Jamaica
p1077,David Beresford,England
p10770,Trevor Francis,England
p107700,Stuart Findlay,Scotland
p10773,Gordon Strachan,Scotland
p10775,Steve Bruce,England
p10780,Graham Rix,England
p107853,Marcello Trotta,Italy
p10787,Gary Megson,England
p1079,Robin van Der Laan,Netherlands
p10790,Steve McMahon,England
p10793,Micky Adams,England
p10794,Danny Wilson,Northern Ireland
p10796,Alan Cork,England
p10798,Steve Whitton,England
p10799,Lou Macari,Scotland
p10801,Andy Ritchie,Scotland
p108012,Jernade Meade,England
p10804,Ian Holloway,England
p108053,Conor Townsend,England
p108093,Luciano Vietto,Argentina
p1081,Geoff Thomas,England
p10810,Lawrie Sanchez,Northern Ireland
p10812,Steve Cotterill,England
p108132,Jamal Blackman,England
p10814,Paul Bracewell,England
p108156,Björn Engels,Belgium
