player_performance_id,player_id,match_id,type_of_stat,minute
1,p1190,461,goal,52
2,p520,461,goal,39
3,p16965,461,goal,46
4,p16965,461,goal,78
5,p8889,461,assist,52
6,p1890,461,assist,39
7,p3171,461,assist,78
8,p2070,450,goal,9
9,p2070,450,assist,82
10,p1190,450,goal,82
11,p1746,450,goal,89
12,p1618,450,assist,9
13,p1618,450,assist,89
14,p15005,449,goal,19
15,p1137,449,assist,19
16,p2070,426,goal,67
17,p361,426,goal,90
18,p1622,426,assist,67
19,p16927,405,goal,68
20,p7987,405,assist,68
21,p17092,398,goal (by penalty),27
22,p8889,398,goal,2
23,p1618,398,goal,87
24,p11,398,assist,2
25,p15007,390,goal,32
26,p1063,390,assist,32
27,p1555,359,goal,15
28,p1618,359,goal,16
29,p1618,359,assist,15
30,p16918,359,goal,20
31,p16918,359,goal,79
32,p1527,359,goal,4
33,p10793,359,goal,30
34,p1921,359,goal,50
35,p3115,359,assist,79
36,p16922,359,assist,4
37,p1746,349,goal,28
38,p2070,349,goal,29
39,p8878,349,assist,28
40,p1924,334,goal,35
41,p2070,334,goal,81
42,p1219,334,assist,35
43,p1746,334,assist,81
44,p1379,329,goal,81
45,p2230,329,assist,81
46,p1555,309,goal,50
47,p1618,309,assist,50
48,p1304,296,goal,19
49,p11,282,Second Yellow Card (and/or Red,86
50,p7989,282,goal (by penalty),59
51,p1618,252,goal,79
52,p16942,252,assist,79
53,p3115,240,goal,43
54,p3154,240,goal,87
55,p8879,240,assist,43
56,p1651,230,goal (by penalty),45
57,p2070,210,goal,81
58,p9,210,own goal,34
59,p8884,207,goal,20
60,p1870,195,goal,16
61,p1870,195,assist,53
62,p1527,195,goal,53
63,p1527,195,assist,16
64,p1925,177,goal,27
65,p2692,169,goal,51
66,p16128,169,goal,56
67,p1716,169,goal,87
68,p16193,169,assist,51
69,p2347,169,assist,56
70,p10773,169,assist,87
71,p8889,155,goal,3
72,p8889,155,assist,30
73,p2070,155,goal,30
74,p2070,155,assist,45
75,p1746,155,goal,45
76,p1591,155,assist,3
77,p17015,154,goal,69
78,p1618,154,goal,5
79,p2070,154,goal,73
80,p1596,154,assist,69
81,p8889,154,assist,5
82,p1746,154,assist,73
83,p2070,133,goal,5
84,p8879,133,goal,58
85,p1618,133,assist,5
86,p1618,133,assist,58
87,p8889,126,goal,38
88,p1957,126,assist,38
89,p1618,110,goal,10
90,p2070,110,goal,85
91,p1681,110,goal,79
92,p8879,110,assist,85
93,p11014,110,assist,79
94,p2070,109,goal,19
95,p1746,109,assist,19
96,p1461,93,goal,48
97,p2070,93,goal,85
98,p1855,93,assist,48
99,p1591,93,assist,85
100,p3764,76,goal,71
101,p1815,76,assist,71
102,p10810,74,goal,39
103,p16115,74,goal,80
104,p2048,74,goal,86
105,p2048,74,assist,80
106,p2070,74,goal,34
107,p2070,74,goal,82
108,p1746,74,assist,34
109,p1622,44,goal,8
110,p1618,44,goal,27
111,p1958,44,goal,33
112,p2070,44,assist,8
113,p2070,44,assist,27
114,p11,40,goal,25
115,p2070,40,goal,31
116,p3115,40,assist,25
117,p8879,33,goal,53
118,p2070,33,goal,80
119,p1622,33,assist,53
120,p1622,33,assist,80
121,p1,12,goal,84
122,p1935,12,assist,84
123,p1957,1,goal,28
124,p1746,1,goal,39
125,p1147,1,goal,69
126,p1147,1,goal,84
127,p2832,1,goal,73
128,p2832,1,assist,69
129,p1924,1,goal,82
130,p11,1,assist,28
131,p1591,1,assist,39
132,p16954,1,assist,73
133,p16954,1,assist,82
134,p1904,459,goal,67
135,p1552,459,goal,78
136,p16927,459,goal,38
137,p17010,459,assist,67
138,p1483,459,assist,78
139,p1651,459,assist,38
140,p1233,441,goal,30
141,p16127,441,assist,30
142,p3764,427,goal,9
143,p3764,427,goal,40
144,p2382,427,goal,15
145,p1254,427,assist,9
146,p1254,427,assist,40
147,p1651,423,goal,57
148,p15010,423,goal (by penalty),67
149,p7987,423,goal,89
150,p1968,423,goal,34
151,p1789,423,assist,89
152,p1770,423,assist,34
153,p16119,387,goal,63
154,p1789,387,assist,63
155,p3399,376,goal,81
156,p1829,360,goal,2
157,p1829,360,goal,56
158,p1789,360,assist,2
159,p1925,356,goal,57
160,p1789,356,goal,53
161,p15663,356,assist,57
162,p3445,356,assist,53
163,p1829,319,goal,79
164,p15011,319,assist,79
165,p1291,304,goal,12
166,p15011,304,goal,18
167,p15011,304,assist,12
168,p7994,304,goal (by penalty),24
169,p7987,301,goal,22
170,p16897,301,assist,22
171,p3269,298,goal,9
172,p1829,284,goal,32
173,p1651,284,goal,42
174,p1789,284,assist,32
175,p7987,284,assist,42
176,p3650,281,goal,39
177,p1527,281,goal,63
178,p17021,281,assist,63
179,p16119,267,goal,54
180,p16119,267,assist,58
181,p1651,267,goal,58
182,p1049,267,goal,89
183,p1855,267,goal,74
184,p1291,267,assist,89
185,p15000,267,assist,74
186,p15010,260,goal,26
187,p16119,260,goal,32
188,p1829,260,goal,44
189,p1651,260,goal,58
190,p2229,260,goal,68
191,p1063,260,goal,82
192,p1789,260,assist,26
193,p1789,260,assist,68
194,p1729,260,assist,32
195,p3306,260,assist,58
196,p15007,260,assist,82
197,p7989,247,goal,42
198,p15010,247,goal,54
199,p1651,247,goal,64
200,p16183,247,assist,42
201,p1049,247,assist,54
202,p1829,247,assist,64
203,p17055,224,goal,52
204,p17055,224,goal,55
205,p17055,224,assist,59
206,p16187,224,goal,59
207,p16187,224,assist,52
208,p16187,224,assist,55
209,p1249,215,goal,58
210,p15010,215,goal,34
211,p3763,215,assist,58
212,p17059,200,goal,33
213,p16119,200,goal,47
214,p361,200,goal,9
215,p7987,200,assist,47
216,p8003,200,assist,9
217,p15005,194,goal,26
218,p16897,194,goal,19
219,p16897,194,goal,67
220,p8827,194,assist,26
221,p16119,194,assist,67
222,p7987,178,goal,45
223,p15010,178,goal,46
224,p2832,178,goal,17
225,p16127,178,goal,30
226,p1219,178,goal,49
227,p1598,178,assist,45
228,p1147,178,assist,17
229,p16897,156,goal,12
230,p1789,156,assist,12
231,p1651,153,goal,43
232,p16897,153,goal,79
233,p16897,153,assist,43
234,p17035,139,goal,19
235,p16897,139,goal,81
236,p1209,139,assist,19
237,p1651,139,assist,81
238,p2659,119,goal,34
239,p2545,119,goal,90
240,p1651,119,goal,5
241,p1651,119,goal,29
242,p16897,119,goal,77
243,p2821,119,assist,34
244,p10810,119,assist,90
245,p1729,119,assist,5
246,p7987,119,assist,29
247,p1829,119,assist,77
248,p17074,107,goal,62
249,p16119,107,own goal,86
250,p1651,107,goal,22
251,p1651,107,goal,74
252,p16897,107,goal,71
253,p1729,107,assist,22
254,p7987,107,assist,71
255,p1829,107,assist,74
256,p1651,88,goal,44
257,p1651,88,goal,66
258,p16897,88,goal,54
259,p16897,88,assist,78
260,p15010,88,goal,78
261,p15010,88,assist,54
262,p1315,88,goal,43
263,p15674,88,goal,84
264,p1729,88,assist,44
265,p7987,88,assist,66
266,p1698,88,assist,43
267,p1747,88,assist,84
268,p8823,85,goal,85
269,p15010,85,goal,19
270,p15663,85,assist,85
271,p7987,85,assist,19
272,p1829,65,goal,18
273,p1789,65,goal,42
274,p1729,65,goal,72
275,p1729,65,assist,18
276,p1049,60,goal,30
277,p16943,60,goal,40
278,p16943,60,assist,42
279,p1164,60,goal,42
280,p1681,60,goal,57
281,p17059,60,assist,30
282,p2387,60,assist,40
283,p15010,52,goal,2
284,p15010,52,goal,86
285,p1789,52,assist,2
286,p16897,52,assist,86
287,p16984,36,goal,88
288,p7994,36,assist,88
289,p16897,23,goal,64
290,p10793,23,goal,79
291,p16118,23,assist,64
292,p16897,14,goal,77
293,p1849,14,goal,84
294,p17059,14,assist,77
295,p8823,14,assist,84
296,p3649,6,goal,31
297,p16897,6,goal,84
298,p17059,6,assist,84
299,p1894,451,goal,65
300,p1254,451,assist,65
301,p1890,448,goal,86
302,p3764,448,goal,22
303,p3764,448,goal,54
304,p3477,448,assist,86
305,p1935,448,assist,22
306,p1687,448,assist,54
307,p3,442,goal,21
308,p1853,442,goal,59
309,p1844,442,goal,90
310,p2382,442,goal,8
311,p15663,442,assist,59
312,p1894,442,assist,8
313,p15000,419,goal,8
314,p2382,419,goal,39
315,p2382,419,assist,54
316,p2382,419,assist,68
317,p3764,419,goal,54
318,p1894,419,goal,68
319,p1935,406,goal,6
320,p3408,406,own goal,43
321,p17018,406,goal,68
322,p3764,406,assist,6
323,p3230,406,assist,68
324,p10773,399,goal (by penalty),8
325,p10773,399,goal (by penalty),26
326,p10773,399,goal (by penalty),50
327,p10773,399,assist,67
328,p2347,399,goal,67
329,p16128,399,goal,89
330,p2382,399,goal,72
331,p8926,399,goal,85
332,p4251,399,assist,50
333,p1687,399,assist,72
334,p1894,399,assist,85
335,p8003,392,goal (by penalty),51
336,p2398,392,red card,84
337,p1254,392,goal,7
338,p1935,392,goal,67
339,p1935,392,assist,76
340,p3764,392,goal,76
341,p2382,392,assist,7
342,p2382,392,assist,67
343,p3764,381,goal,13
344,p17023,381,goal,25
345,p2382,381,goal,41
346,p2382,381,assist,13
347,p1254,381,goal,65
348,p1254,381,assist,41
349,p7995,381,goal,84
350,p16114,381,assist,65
351,p1935,377,goal,23
352,p17023,377,goal,55
353,p8926,377,goal,65
354,p2641,377,assist,23
355,p16114,377,assist,55
356,p1833,377,assist,65
357,p8926,361,goal,23
358,p15007,361,goal,32
359,p1196,361,assist,32
360,p2312,333,own goal,56
