"club_id","stadium_id","club_name","website"
"120","133","Arsenal","www.arsenal.com"
"121","134","Aston Villa","www.avfc.co.uk"
"122","135","Barnsley","Null"
"123","136","Birmingham City","Null"
"124","137","Blackburn Rovers","Null"
"125","138","Blackpool","Null"
"126","139","Bolton Wanderers","Null"
"127","140","AFC Bournemouth","www.afcb.co.uk"
"128","141","Bradford City","Null"
"129","142","Brentford","www.brentfordfc.com"
"130","143","Brighton and Hove Albion","www.brightonandhovealbion.com"
"131","144","Burnley","www.burnleyfootballclub.com"
"132","145","Cardiff City","www.cardiffcityfc.co.uk"
"133","146","Charlton Athletic","Null"
"134","147","Chelsea","www.chelseafc.com"
"135","148","Coventry City","Null"
"136","149","Crystal Palace","www.cpfc.co.uk"
"137","150","Derby County","Null"
"138","151","Everton","www.evertonfc.com"
"139","152","Fulham","www.fulhamfc.com"
"140","153","Huddersfield Town","www.htafc.com"
"141","154","Hull City","www.hullcitytigers.com"
"142","155","Ipswich Town","Null"
"143","156","Leeds United","www.leedsunited.com"
"144","157","Leicester City","www.lcfc.com"
"145","158","Liverpool","www.liverpoolfc.com"
"146","159","Manchester City","www.mancity.com"
"147","160","Manchester United","www.manutd.com"
"148","161","Middlesbrough","www.mfc.co.uk"
"149","162","Newcastle United","www.nufc.co.uk"
"150","163","Norwich City","www.canaries.co.uk"
"151","164","Nottingham Forest","Null"
"152","165","Oldham Athletic","Null"
"153","166","Portsmouth","Null"
"154","167","Queens Park Rangers","Null"
"155","168","Reading","Null"
"156","169","Sheffield United","https://www.sufc.co.uk/"
"157","170","Sheffield Wednesday","Null"
"158","171","Southampton","www.southamptonfc.com"
"159","172","Stoke City","www.stokecityfc.com"
"160","173","Sunderland","www.safc.com"
"161","174","Swansea City","www.swanseacity.com"
"162","175","Swindon Town","Null"
"163","176","Tottenham Hotspur","www.tottenhamhotspur.com"
"164","177","Watford","www.watfordfc.com"
"165","178","West Bromwich Albion","www.wba.co.uk"
"166","179","West Ham United","www.whufc.com"
"167","180","Wigan Athletic","Null"
"168","149","Wimbledon","Null"
"171","322","Wolverhampton Wanderers","https://www.wolves.co.uk"
