"stadium_id","stadium_name","city","capacity","record_pl_attendance","address","pitch_size","built","phone"
"133","Emirates Stadium","London","60260","60,161 v Manchester United (3 November 2007)","Highbury House, 75 Drayton Park, London, N5 1BU","105m x 68m","2006","+44 (0) 20 7619 5003"
"134","Villa Park","Birmingham","42682","Null","Villa Park, Trinity Road, Birmingham, B6 6HE","105m x 68m","1897","+44 (0)121 327 5353"
"135","Oakwell","Barnsley","23009","Null","Oakwell, Grove Street, Barnsley, S71 1ET","100m x 68m","1887","+44 (0)1226 211211"
"136","St. Andrew's Trillion Trophy Stadium","Birmingham","29409","Null","St. Andrew's Stadium, Birmingham, B9 4RL","105m x 68m","1906","0121 772 0101"
"137","Ewood Park","Blackburn","31367","Null","Ewood Park, Blackburn, Lancashire, BB2 4JF","105m x 68m","1882","0871 222 1444"
"138","Bloomfield Road","Blackpool","17338","Null","Seasiders Way, Blackpool, FY1 6JJ","102m x 68m","1899","01253 401953"
"139","University of Bolton Stadium","Bolton","28723","Null","Burnden Way, Horwich, Bolton, BL6 6JW","105m x 68m","1997","01204 673 673"
"140","Vitality Stadium","Bournemouth","11329","11,459 v Liverpool (4 December 2016 & 17 April 2016)","Vitality Stadium, Dean Court, Bournemouth, BH7 7AF","105m x 68m","1910","+44 (0)344 576 1910"
"141","Valley Parade","Bradford","25136","Null","Bradford, West Yorkshire, BD8 7DY","103m x 64m","1886","0871 978 1911"
"142","Brentford Community Stadium",\N,"17250","Null","Brentford Community Stadium, Lionel Road South, Brentford, TW8 0RU","105m x 68m","2020","+44 (0) 20 8847 2511"
"143","Amex Stadium","Falmer","30666","30,565 v Everton (15 Oct 2017)","American Express Community Stadium, Village Way, Brighton, BN1 9BL","105m x 68m","2011","+44 (0) 344 324 6282"
"144","Turf Moor","Burnley","21944","21,870 v Manchester United (24 April 2017)","Turf Moor, Harry Potts Way, Burnley, Lancashire, BB10 4BX","105m x 68m","1883","+44 (0) 871 221 1882"
"145","Cardiff City Stadium","Cardiff","33316","32,321 v Manchester City (22 September 2018)","Cardiff City Stadium, Leckwith Road, Cardiff, CF11 8AZ","105m x 68m","2009","+44 (0) 845 365 115"
"146","The Valley","London","27111","Null","Floyd Road, Charlton, SE7 8BL","102m x 67m","1919","03330 14 44 44"
"147","Stamford Bridge","London","40853","42,332 v Newcastle United (4 December 2004)","Stamford Bridge, Fulham Road, London, SW6 1HS","103m x 67.5m","1877","0044 207 386 9373"
"148","Highfield Road","Coventry","32609","Null","Phoenix Way, Foleshill, Coventry, West Midlands, CV6 6GE","105m x 68m","2005","024 7699 1987"
"149","Selhurst Park","London","25486","30,115 v Manchester United (21 April 1993)","Selhurst Park Stadium, Holmesdale Road, London, SE25 6PU","101m x 68m","1924","+44 (0) 20 8768 6000"
"150","Pride Park Stadium","Derby","33597","Null","Pride Park Stadium, Pride Park, Derby, DE24 8XL","105m x 68m","1997","0871 472 1884"
"151","Goodison Park","Liverpool","39221","40,552 v Liverpool (11 December 2004)","Goodison Park, Goodison Road, Liverpool, L4 4EL","100.48m x 68m","1892","+44 (0) 151 556 1878"
"152","Craven Cottage","London","19000","Null","Stevenage Road, London, SW6 6HH","100m x 65m","1896","0843 208 1222"
"153","John Smith's Stadium","Huddersfield","24169","24,426 v Manchester United (21 October 2017)","The John Smith's Stadium, Stadium Way, Huddersfield, HD1 6PX","106m x 68m","1994","+44 (0) 1484 484112"
"154","KCOM Stadium","Hull","24983","Null","The KCOM Stadium, West Park, Hull, HU3 6HU","105m x 68m","2002","+44 (0) 1482 504600"
"155","Portman Road","Ipswich","30311","Null","Portman Road, Ipswich, Suffolk, IP1 2DA","102m x 64m","1884","01473 400 500"
"156","Elland Road","Leeds","37890","Null","Elland Road, Leeds, LS11 0ES","106m x 69m","1897","0871 334 1919"
"157","King Power Stadium","Leicester","32273","32,242 v Sunderland (8 August 2015)","King Power Stadium, Filbert Way, Leicester, LE2 7FL","105m x 68m","2002","+44 (0) 344 815 5000"
"158","Anfield","Liverpool","53394","53,292 v AFC Bournemouth (5 April 2017)","Anfield, Anfield Road, Liverpool, L4 0TH","101m x 68m","1884","+44 (0)151 263 2361"
"159","Etihad Stadium","Manchester","55017","54,693 v Leicester City (6 February 2016)","Etihad Stadium, Etihad Campus, Manchester, M11 3FF","105m x 68m","2002","+44 (0) 161 444 1894"
"160","Old Trafford","Manchester","74879","76,098 v Blackburn Rovers (31 March 2007)","Sir Matt Busby Way, Old Trafford, Manchester, M16 0RA","105m x 68m","1909","+44 (0) 161 868 8000"
"161","Riverside Stadium","Middlesbrough","33746","Null","Riverside Stadium, Middlesbrough, TS3 6RS","105m x 68m","1995","+44 (0) 844 499 6789"
